Nom de l'offre touristique;SyndicObjectID;Type de l'offre;Catégorie de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;widget pour zoover;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Types d'équipements locatifs sur le camping;Services proposés sur place;Naturisme;Nombre emplacements pour les campings;Nombre emplacements pour les campings car;Nombre emplacements équipés avec locatif pour les campings;Nombre emplacements nus pour les campings;Nombre emplacements résidentiels pour les campings;Nombre emplacements saisonniers pour les campings;Surface en hectares;Groupe accepté: oui / non;Labels;Chaînes;Classements préfectoral;Langues parlées à l'accueil;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Période/horaires par jour/précisions ouverture/précision fermeture;Nom du contact/Tel contact/mail contact;Nom centrale de réservation en ligne;Moyen(s) de réservation en ligne;Tarifs;Modes de paiement acceptés;localisation;departement
Camping Le Domaine du Collet;HPAPDL044000066;Camp de tourisme;4 étoiles;;;Route Verte;;44760;LES MOUTIERS-EN-RETZ;44106;47.03573;-1.98453;Route (nationale/départ.)||RD 13||3,Transport en commun||Car Lila – Ligne 3 – Nantes/Pornic||4,5,Aéroport/aérodrome||Nantes Atlantique||40,Gare SNCF||TER ligne 10 – Nantes-Pornic||4,5,Autoroute||A 11 – Nantes/Paris||45;07 84 77 90 63;02 40 21 40 92;;;http://www.domaine-du-collet.com;www.dailymotion.com/embed/video/xs57ut,http://www.youtube.com/watch?feature=player_detailpage&v=MbODqLeEXao;Facebook||https://www.facebook.com/Camping.Domaine.Du.Collet;"www.dailymotion.com/embed/video/xs57ut<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;oui;;;non;EV1-La Vélodyssée;Espace aqua-ludique,Piscine,Piscine couverte;Mobil-Home;Commerce alimentaire,Snack/Restaurant;non;270;15;70;82;118;;12;;Accueil Vélo,La Vélodyssée;;;Allemand,Anglais;non;;01/04/2025||31/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Domaine du Collet||||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.03573, -1.98453;Loire-Atlantique
TIPIS MOHAIR DE L'ERDRE;HPAPDL044V50YD5J;Camping à la ferme;Non Classé;La Pommeraie;;;;44390;CASSON;44027;47.3821938;-1.5779709;Route (nationale/départ.)||||0,5;06 66 41 69 99;;;;https://www.mohairdelerdre.com/h%C3%A9bergement-en-tipi;;Facebook||https://www.facebook.com/mohairdelerdre.44,Instagram||https://www.instagram.com/mohairdelerdre/?hl=fr;;;;non;;;non;;;Tipi;;non;;;6;;;;3;oui;;;;Anglais,Français;non;non;;Paumier Gwenaëlle||06 66 41 69 99||mohairdelerdre@gmail.com;;;;Chèques bancaires et postaux,Espèces,Virement;47.3821938, -1.5779709;Loire-Atlantique
Les Chênes Verts;HPAPDL044V50G1TE;Camp de tourisme;4 étoiles;;;215 rue des Près Morin;Bourgneuf-en-Retz;44580;VILLENEUVE-EN-RETZ;44021;47.05199;-1.96605;||||0,5,Transport en commun||||0,5;;02 40 21 48 16;;;https://www.leschenesverts.info/;;;;;;oui;: Les animaux ne sont pas admis dans certains locatifs.;;;;Espace aqua-ludique,Piscine,Piscine couverte,WiFi;Mobil-Home;Snack/Restaurant;;;;;;149;;;;;;;Anglais,Espagnol;;;06/04/2024||15/09/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 21 48 16||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.05199, -1.96605;Loire-Atlantique
Camping insolite Le Haut Village;HPAPDL044000129;Camp de tourisme;3 étoiles;;;4 route de l'Etang;;44730;SAINT-MICHEL-CHEF-CHEF;44182;47.17065;-2.13535;||||10,Gare SNCF||PORNIC||10;;02 40 39 93 45;;;http://www.camping-hautvillage.fr/;http://youtu.be/WixY1XOvXNY;Facebook||https://fr-fr.facebook.com/pages/Camping-Le-Haut-Village/251262391619813,Zoover||http://www.zoover.fr/france/pays-de-la-loire/st-michel-chef-chef/le-haut-village/camping;;;;oui;;;;;Espace aqua-ludique,Piscine,WiFi;Caravanes,Mobil-Home;Commerce alimentaire,Snack/Restaurant;non;;;22;47;;30;3,3;;;;;Anglais,Espagnol;non;;29/03/2024||29/09/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Guillaume ou Charlotte||02 40 39 93 45||camping.hv@orange.fr;||http://www.camping-hautvillage.fr/information-reservation-contact/||http://www.camping-hautvillage.fr/information-reservation-contact/||||;oui;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.17065, -2.13535;Loire-Atlantique
Camping - Le Domaine du Mès;HPAHPAEDOMAINEDUMES;Camp de tourisme;4 étoiles;;;( anciennement Domaine de Kernodet);30 Route de Mesquer;44350;SAINT-MOLF;44183;47.38861;-2.43962;;0622805998;02 40 22 41 99;;;https://www.domainedumes.fr/;;;;;;oui;;;non;;Espace aqua-ludique,Piscine couverte,Salle de sport,WiFi;Bungatoile,Mobil-Home;;;152;;26;;;;;;;;;Anglais,Espagnol;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.38861, -2.43962;Loire-Atlantique
Camping - Le Domaine de Pont-Mahé;HPAEDOMAINEPONTMAHE;Camp de tourisme;4 étoiles;;;13 rue Pont-Mahé;;44410;ASSERAC;44006;47.44743;-2.45016;;;02 40 01 74 98;;;https://www.pont-mahe.com/;;;;;;oui;;;non;;WiFi;Bungatoile,Mobil-Home,Tente;;;111;15;20;62;;;1,6;;;;;Anglais,Espagnol;;;04/04/2025||04/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,04/04/2026||03/10/2026||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques Vacances,Espèces,Virement;47.44743, -2.45016;Loire-Atlantique
Camping - Le Rio Barre;HPAELERIOBARRE;Camp de tourisme;2 étoiles;;;1601 route de Mesquer;;44420;PIRIAC-SUR-MER;44125;47.3792;-2.52399;;;02 40 23 51 48;;;http://campingleriobarre.com;;;;;;oui;;;non;;WiFi;;;;114;;;;;;;;;;;;;;;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces;47.3792, -2.52399;Loire-Atlantique
Camping - La Roseraie;HPAELAROSERAIE;Camp de tourisme;4 étoiles;;;20 avenue Jean Sohier;;44500;LA BAULE-ESCOUBLAC;44055;47.29836;-2.35764;;;02 40 60 46 66;;;http://www.laroseraie.com;;;;;;oui;;;non;;Salle de sport,WiFi;Mobil-Home;;;316;2;120;100;;;;;Qualité Tourisme;;;Anglais;;;05/04/2025||21/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.29836, -2.35764;Loire-Atlantique
Domaine du Petit Marais;HPAHPAPDL044V504GW9;Parc résidentiel de loisirs;Non Classé;;;30 rue des Fontenelles;Arthon en Retz;44320;CHAUMES-EN-RETZ;44005;47.13276;-1.96344;;06 72 42 79 04;06 77 84 88 45;;;http://www.domainedupetitmarais.com;;;;;;;;;non;;Piscine;Mobil-Home;;;;;;;;;;;;;;;;;;;;;;;47.13276, -1.96344;Loire-Atlantique
Camping - Le Ranrouët;HPAELERANROUET;Camp de tourisme;3 étoiles;;;7 allée des Prés Blancs;;44410;HERBIGNAC;44072;47.44813;-2.3113;;;02 40 15 57 56;;;http://www.campingleranrouet.fr;;;;;;oui;;;non;;WiFi;Mobil-Home;;;80;5;14;60;;;;;;;;Anglais;;;;;;;;Cartes bancaires,Chèques Vacances,Espèces,Virement;47.44813, -2.3113;Loire-Atlantique
Camping - La Fontaine;HPAELAFONTAINE;Camp de tourisme;3 étoiles;;;Kersavary;Route de Saint-Molf;44350;GUERANDE;44069;47.34894;-2.43433;;06 08 12 80 96;02 40 24 96 19;;;http://www.camping-lafontaine.com;;;;;;oui;;;non;;WiFi;Mobil-Home,Tente;;;110;66;15;66;;;2,5;;;;;Anglais;;;12/04/2025||04/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.34894, -2.43433;Loire-Atlantique
CAMPING DU MANOIR DE L'ESPÉRANCE;HPAECAMPINGMANOIRESPERANCE;Camp de tourisme;;;;L'Espérance;;44560;CORSEPT;44046;47.27733;-2.07751;;06 19 26 75 80;02 40 39 60 89;;;http://www.manoirdelesperance.fr/;;;;;;oui;;;non;EV1-La Vélodyssée,EV6-La Loire à Vélo;Piscine couverte,WiFi;;;;;;4;5;;;;;Accueil Vélo,Ambassadeur Val de Loire,Écolabel Européen,La Loire à vélo,La Vélodyssée,Qualité Tourisme,Rando Accueil;;;Anglais;;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.27733, -2.07751;Loire-Atlantique
Camping - Les Prairies de l'Etang;HPAEPRAIRIESETANG;Camp de tourisme;4 étoiles;;;Le Traverno;20 rue du Pont aux Pages;44410;ASSERAC;44006;47.42883;-2.39724;;;02 40 01 73 35;;;https://www.lesprairies.net;;;;;;oui;;;non;;WiFi;Bungatoile,Mobil-Home,Tente;;;142;38;21;38;;;4;;;;;Anglais;;;05/04/2025||05/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.42883, -2.39724;Loire-Atlantique
Camping - L'Ile de Kernodet - Camping Paradis;HPAEILEDEKERNODET;Camp de tourisme;4 étoiles;;;Longue Haleine;19 route de La Turballe;44350;SAINT-MOLF;44183;47.38646;-2.43889;;06 40 84 49 55;02 40 62 55 62;02 40 62 55 62;;http://www.camping-iledekernodet.com;;;;;;oui;;;non;;WiFi;Mobil-Home;;;95;4;27;13;;;;;;;;Anglais;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.38646, -2.43889;Loire-Atlantique
La Riviera;HPAHPAPDL044000133;Camp de tourisme;4 étoiles;;;Route des Gâtineaux;;44730;SAINT-MICHEL-CHEF-CHEF;44182;47.16426;-2.148;;;02 40 39 88 12;;;https://www.aloa-vacances.com/la-riviera/accueil/;;;;;;oui;tatoués,vaccinés, tenus en laisse. Interdits à la piscine et aux  jeux;;;;Espace aqua-ludique,Espace Bien-être,Piscine;Mobil-Home;Location/prêt de vélo,Snack/Restaurant;;;;100;39;77;;6;;;;;Anglais;;;05/04/2025||14/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.16426, -2.148;Loire-Atlantique
Camping - Paradis;HPAEPARADIS;Camp de tourisme;2 étoiles;;;Route du Milieu;;44490;LE CROISIC;44049;47.29195;-2.53593;;;02 40 23 07 89;;;http://www.camping-paradis.com;;;;;;oui;;;non;;WiFi;;;;100;;;93;;;1,37;;;;;Anglais;;;;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces;47.29195, -2.53593;Loire-Atlantique
Sur les Rives de Pont Miny;HPAPDL044V51HYRC;Camp de tourisme;;;;1 Rue de Pont Miny;;44460;FEGREAC;44057;47.57178;-2.04622;;;02 59 16 36 20;;;;;;;;;non;;;;;;;;;;;;;;;;non;;;;Espagnol,Français;non;;05/04/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Espèces;47.57178, -2.04622;Loire-Atlantique
La Ferme de la Piardière;HPAPDL044V5040SN;Aire naturelle;;;;41 rue de la piardière;;44630;PLESSE;44128;47.5327168;-1.8544363;;06 74 65 28 85;02 40 51 87 82;;;www.lafermedelapiardiere.com;;||https://www.facebook.com/lafermedelapiardiere,||https://www.instagram.com/camping_ferme_piardiere/?hl=fr;;;;oui;;;non;;Prise électrique;Mobil-Home,Roulotte;Commerce alimentaire;non;;4;;4;;;;non;Accueil Paysan;;;Espagnol,Français;non;;14/04/2025||30/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.5327168, -1.8544363;Loire-Atlantique
Camping à La Ferme De Beau Soleil;HPAPDL044V50Y09F;Aire naturelle;Non Classé;;;Moulin des Landes;;44690;MAISDON-SUR-SEVRE;44088;47.113538;-1.398774;;;;;;;https://www.youtube.com/watch?v=9Dcfz3Ei9o4;;;;;non;Sauf exception...;;non;;Local vélo,WiFi;Cabane,Caravanes,Tente,Tipi;Commerce alimentaire,Location/prêt de vélo,Snack/Restaurant;non;6;;4;;;;3;oui;Accueil Paysan;;;Anglais,Espagnol,Français;oui;non;01/05/2025||15/10/2025||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||;Claire||||contact@beausoleildeslandes.com;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||11,00||25,00||;Chèques bancaires et postaux,Espèces,Virement;47.113538, -1.398774;Loire-Atlantique
Camping Festival Hellfest Saint-Hilaire-De-Clisson 2024 - Dev'hil Camp;HPAPDL044V51APYC;Camp de loisirs;Non Classé;;;Rue du Stade;Espace de la Noue;44190;SAINT-HILAIRE-DE-CLISSON;44165;47.061117;-1.307291;;;0652741232;;;https://www.helloasso.com/associations/dev-hil-camp/evenements/camping-festival-hellfest-saint-hilaire-de-clisson-2024;;;;;;;;;non;;;;Snack/Restaurant;non;120;;;;;;;oui;;;;;oui;non;;;||https://www.helloasso.com/associations/dev-hil-camp/evenements/camping-festival-hellfest-saint-hilaire-de-clisson-2024||||06 52 74 12 32||hilaire.camp.collectif@gmail.com;oui;Tarif visiteur / jour||||||Forfait / personne : 125 € pour 5 nuits, 100 € pour 4 nuits, 75 € pour 3 nuits;Cartes bancaires;47.061117, -1.307291;Loire-Atlantique
VILLAGE NATURE INSOLITE  LES RIVES DE GRAND LIEU;HPAPDL044000139;Camp de tourisme;3 étoiles;;;1 Avenue de Nantes;;44310;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.042157;-1.6411865;Gare routière||||25;;02 40 78 88 79;;;www.lesrivesdegrandlieu.com;;Facebook||https://www.facebook.com/Lesrivesdegrandlieu/;"https://www.youtube.com/watch?v=gI0XIDoaFA8;http://www.camping-lesrivesdegrandlieu.com/;https://www.youtube.com/watch?v=GHHq9jqF2Yo;https://www.youtube.com/watch?v=6GE5rmHgNKE;https://www.youtube.com/watch?v=uHk0pRtPn1k;https://www.youtube.com/watch?v=7KiYxUu4nMk;<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;oui;;;non;;Prise électrique,WiFi;Bungalow,Bungatoile,Chalet,Mobil-Home,Tente,Tipi,Yourte;Location/prêt de vélo,Snack/Restaurant;non;180;;67;126;10;;4;oui;Hébergement Pêche,Vignobles et découvertes;;;Anglais,Français;;non;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.042157, -1.6411865;Loire-Atlantique
Camping du port;HPAPDL044000027;Camp de tourisme;1 étoile;;;Le Port;Beslé-sur-Vilaine;44290;GUEMENE-PENFAO;44067;47.7012282;-1.866299;Gare SNCF||Beslé-sur-VIlaine||0,3,Route (nationale/départ.)||D59||0,3;;02 40 87 73 72;;;http://www.mairie-guemene-penfao.fr/camping-municipal/;;;;;;oui;;;non;;Prise électrique,WiFi;Chalet;;non;40;5;2;35;;;;oui;;;;Anglais,Français;oui;non;01/04/2025||30/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces;47.7012282, -1.866299;Loire-Atlantique
Domaine de la Baie Dorée;HPAPDL044V500BNP;Camp de tourisme;3 étoiles;;;432 La Guérivière;Bourgneuf-en-Retz;44580;VILLENEUVE-EN-RETZ;44021;47.05614;-1.96277;Gare SNCF||Bourgneuf en retz||2,Autoroute||NANTES||40,Aéroport/aérodrome||NANTES ATLANTIQUE||40;06 12 51 72 65;02 40 21 41 14;;;https://www.camping-baie-doree.fr/;;Facebook||http://www.facebook.com/baiedoree.camping;;;;oui;de petite taille uniquement dans les locatifs;;non;;Espace Bien-être,Piscine,Piscine couverte,WiFi;Mobil-Home,Tente;Snack/Restaurant;non;145;;40;6;100;;5;;;;;Anglais;non;;05/04/2025||20/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Monia BERNARD||02 40 21 41 14||contact@camping-baie-doree.fr;;;;Cartes bancaires,Chèques Vacances,Espèces;47.05614, -1.96277;Loire-Atlantique
Camping du Moulin Onlycamp;HPAPDL044000022;Camp de tourisme;3 étoiles;;;ZA de Câlin;Route de Nantes;44190;CLISSON;44043;47.0980494;-1.2828583;Gare SNCF||Clisson||2,Autoroute||A 83||20,Aéroport/aérodrome||Nantes Atlantique||35;;07 66 03 17 83.;;;https://camping-clisson.com/;;;;;;oui;;Déficience mentale,Déficience moteur;oui;Vélidéale;Défibrillateur,Local vélo,Prise électrique;Chalet,Mobil-Home,Tente;Commerce alimentaire,Snack/Restaurant;non;48;29;19;29;19;29;1600;oui;Accueil Vélo,Clef Verte;;;Anglais,Français;non;oui;18/04/2025||21/09/2025||||EMPLACEMENTS||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||POUR MH||09:00||12:00||15:00||19:00||09:00||12:00||15:00||19:00||09:00||12:00||15:00||19:00||09:00||12:00||15:00||19:00||09:00||12:00||15:00||19:00||09:00||12:00||15:00||19:00||09:00||12:00||15:00||19:00,01/01/2025||17/04/2025||||AIRE EMPLACEMENTS CAMPINGS CARS||09:00||15:00||12:00||19:00||09:00||15:00||12:00||19:00||09:00||15:00||12:00||19:00||09:00||15:00||12:00||19:00||09:00||15:00||12:00||19:00||09:00||15:00||12:00||19:00||09:00||15:00||12:00||19:00;||07 66 03 17 83||campingdumoulin@onlycamp.fr;||||||07 66 03 17 83||campingdumoulin@onlycamp.fr;non;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||12,00||22,00||,Locatif / semaine||510,00||670,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Virement;47.0980494, -1.2828583;Loire-Atlantique
Le Bernier;HPAPDL044000050;Camp de tourisme;3 étoiles;;;56 rue de la Cormorane;;44770;LA PLAINE-SUR-MER;44126;47.15089;-2.19485;Gare SNCF||Gare de Pornic||7,5,Transport en commun||Bus Lila||1,9,Aéroport/aérodrome||Aéroport Nantes Atlantique||55,Autoroute||A11 et A83||70;;02 40 21 04 31;;;http://www.camping-lebernier.fr;;;;;;oui;tatoués, vaccinés et tenus en laisse.;;non;EV1-La Vélodyssée;Piscine couverte,WiFi;Mobil-Home;Commerce alimentaire,Location/prêt de vélo,Snack/Restaurant;non;41;;21;10;9;;0,76;;;;;Anglais;;;29/03/2024||27/09/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Camping du Bernier||02 40 21 04 31||camping.lebernier@orange.fr;||||http://camping-lebernier.fr||||;non;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.15089, -2.19485;Loire-Atlantique
Camping La Goëlette;HPAPDL044000042;Camp de tourisme;2 étoiles;;;48 rue de la Sennetière;;44760;LA BERNERIE-EN-RETZ;44012;47.07069;-2.02545;Gare SNCF||La Bernerie en Retz||2,5;06 81 67 12 17;09 60 01 10 82;;;https://www.campinglagoelette.com/;;;;;;oui;;;non;;WiFi;Caravanes;;non;;;;36;;;;;La Vélodyssée;;;Anglais;non;;01/04/2024||31/10/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;À l'accueil||||;;;Tarif électricité / nuit||5,00||5,00||,Taxe de séjour / nuit / pers||0,20||0,20||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.07069, -2.02545;Loire-Atlantique
Camping de Prigny;HPAPDL044000065;Camp de tourisme;3 étoiles;;;1 Route de Moraudeau;;44760;LES MOUTIERS-EN-RETZ;44106;47.06374;-1.9841;Gare SNCF||TER - Ligne Nantes - Pornic||1,5,Transport en commun||Car Lila||1,5,Aéroport/aérodrome||Nantes-Atlantique||40,Route (nationale/départ.)||RD 13 - Machecoul - Pornic||0,2,Autoroute||A 11 – Nantes/Paris||42;06 24 67 05 14;02 40 64 73 81;;;http://www.campingdeprigny.fr;;;;;;oui;;;non;EV1-La Vélodyssée;Piscine,Piscine couverte,WiFi;Mobil-Home,Tente;Commerce alimentaire,Snack/Restaurant;non;;;26;25;29;56;1,37;;Accueil Vélo,La Vélodyssée;;;Anglais;non;;04/04/2025||25/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Camping de Prigny||02 40 64 73 81||leprigny@wanadoo.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.06374, -1.9841;Loire-Atlantique
LE PAS DU GÛ;HPAPDL044000114;Camp de tourisme;1 étoile;;;28 Le Pas du Gû;;44250;SAINT-BREVIN-LES-PINS;44154;47.21981;-2.15385;Transport en commun||Brévibus arrêt  11 novembre||0,Gare SNCF||St Nazaire||15,Gare routière||bus lila ligne Nantes arrêt Les Rochelet||0,Aéroport/aérodrome||Nantes Atlantique||55;06 78 01 29 67;02 40 27 07 22;;;https://www.campingpasdugu.net/;;;;;;oui;Carnet de vaccination à jour;;non;EV1-La Vélodyssée,EV6-La Loire à Vélo,Vélidéale;;;;non;;;;47;;;2;;Accueil Vélo,La Loire à vélo,La Vélodyssée;;;Anglais;non;;15/06/2025||15/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||12,40||15,50||,Tarif électricité / nuit||3,40||5,50||,Taxe de séjour / nuit / pers||0,20||0,20||,Tarif adulte supplémentaire / nuit||3,00||5,75||;Chèques bancaires et postaux,Chèques Vacances,Espèces;47.21981, -2.15385;Loire-Atlantique
Clos Mer et Nature;HPAPDL044000128;Camp de tourisme;3 étoiles;;;103 rue de Tharon;;44730;SAINT-MICHEL-CHEF-CHEF;44182;47.17293;-2.15833;Transport en commun||sur place 400m||0,Gare SNCF||Pornic ou Saint Nazaire||8,Autoroute||Nantes||50,Route (nationale/départ.)||sur place||0,Gare routière||Pornic||8,Aéroport/aérodrome||Nantes Atlantique ou Saint Nazaire||50,Héliport||Beauvoir (pour l'île d'yeu)||30,Halte fluviale||Pornic||7,Gare maritime||Fromentine||30;;02 40 27 85 71;;;http://www.camping-clos-mer-nature.fr;;;;;;oui;vaccinés, tatoués et tenus en laisse. Non autorisés en cat 1 et 2;;non;;Espace aqua-ludique,Piscine,WiFi;Mobil-Home,Tente;Snack/Restaurant;non;;20;70;83;;170;4;;;;;Anglais;non;;01/04/2024||31/10/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme GEOFFROY||02 40 27 85 71||closmernature@orange.fr;||||||02 40 27 85 71||closmernature@orange.fr;non;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.17293, -2.15833;Loire-Atlantique
Bel Essor;HPAPDL044000126;Camp de tourisme;2 étoiles;;;Rue de Tharon;;44730;SAINT-MICHEL-CHEF-CHEF;44182;47.17471;-2.15433;Transport en commun||||0,5;;02 40 27 85 40;;;http://www.campingbelessor.com;;;;;;oui;tatoué et vacciné;;non;EV1-La Vélodyssée;WiFi;Caravanes,Tente;Snack/Restaurant;non;;;15;125;;;2;;Accueil Vélo;;;Anglais,Espagnol;non;;19/04/2025||27/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;M FOUAULT||02 40 27 85 40||campingbelessor@wanadoo.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.17471, -2.15433;Loire-Atlantique
LE GRAND FAY;HPAPDL044000138;Camp de tourisme;3 étoiles;;;Rue du Grand Fay;;44320;SAINT-PERE-EN-RETZ;44187;47.20328;-2.03686;Transport en commun||||1;;02 40 21 72 89;02 40 82 40 27;;https://grandfay.fr;;;;;;oui;tatoués, vaccinés et tenus en laisse (chien de cat. 1 et 2 non admis);;non;;Piscine,WiFi;Mobil-Home;;non;;;16;33;28;;2;;;;;Anglais;;;01/01/2025||31/12/2025||pour les locatifs, et du 04/04 au 04/10 pour les emplacements camping.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Camping du Grand Fay||02 40 21 72 89||;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||16,00||26,00||,Taxe de séjour / nuit / pers||0,44||0,44||,Tarif adulte supplémentaire / nuit||3,00||7,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.20328, -2.03686;Loire-Atlantique
Camping du Bord de Mer;HPAPDL044000132;Camp de tourisme;3 étoiles;;;1 bis boulevard de l'Océan;;44730;SAINT-MICHEL-CHEF-CHEF;44182;47.18202;-2.16152;Transport en commun||||1,Gare SNCF||pornic ou saint nazaire||10,Aéroport/aérodrome||nantes atlantique||45,Route (nationale/départ.)||rouet bleue D213||2;07 72 72 48 08;02 40 27 93 16;;;http://www.borddemer-camping.com;;;;;;oui;vacciné et tenu en laisse. Pas de chiens catégories 1 et 2.;;non;;Espace Bien-être,Piscine couverte,WiFi;Mobil-Home,Tente;Snack/Restaurant;non;;;57;11;20;;1,56;;Camping Qualité,Qualité Tourisme;;;Anglais;non;;15/01/2024||10/11/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;ANGLIO||02 40 27 93 16||contact@borddemer-camping.com;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.18202, -2.16152;Loire-Atlantique
Camping Le Clos du Moulin;HPAPDL044000045;Camp de tourisme;4 étoiles;;;4 route du Moulin Neuf;;44760;LA BERNERIE-EN-RETZ;44012;47.08133;-2.01436;||||1,4,Transport en commun||||1,8,Gare SNCF||||2,Aéroport/aérodrome||Nantes Atlantique||41;;02 40 64 60 50;;;http://www.closdumoulin.com;;;;;;oui;;;;;Espace Bien-être,Piscine,Piscine couverte,WiFi;Mobil-Home;;non;190;;190;;;;;;;;;Anglais,Espagnol;non;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.08133, -2.01436;Loire-Atlantique
LES PEUPLIERS;HPAPDL044000137;Camp de tourisme;1 étoile;;;18 Les Lardières;;44320;SAINT-PERE-EN-RETZ;44187;47.22359;-2.11207;;06 87 63 27 79;;;;;;;;;;oui;;;non;;;Mobil-Home;;non;;;1;;13;;;;;;;Français;non;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances;47.22359, -2.11207;Loire-Atlantique
