Nom de l'offre touristique;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Url pour accéder à la vidéo;Code Embed pour intégrer une video;Widget tripadvisor;Catégorie de la fête ou manifestation;Equipements;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Confort pour les hébergements collectifs;Labels;Classement dans un label;Présence l'offre sur les grands itinéraires vélo;Langues parlées à l'accueil;Services proposés sur place;Groupe accepté: oui / non;Nombre personnes max par dortoir;Nombre chambres;Nombre total d'hébergements / logements;Nombre lits;Nombre personnes;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Nom du contact/Tel contact/mail contact;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarif(s);Modes de paiement acceptés;CapaciteNbChambresFamiliales;CapaciteNbChambresMobReduite;CapaciteNbEmplacements;CapaciteNbEmplacementsCampingCar;CapaciteNbEmplacementsLocatifs;CapaciteNbEmplacementsNus;CapaciteNbEmplacementsResidentiels;CapaciteNbEmplacementsSaison;CapaciteNbSalleReunion;CapaciteSurface;SyndicObjectID;localisation;departement
Gîtes les Tropes;;;;13 Hameau de la Chauvinière;;72500;JUPILLES;;72153;47.798961;0.407399;Route (nationale/départ.)||||0,Autoroute||Autoroute Le Mans-Tours accès Ecommoy||11,Gare SNCF||Le Mans TGV||35;06 16 03 82 61;;;;http://www.gites-les-tropes.com;Facebook||https://www.facebook.com/Gites-les-Tropes-374458226000728/;https://www.youtube.com/watch?v=tkDwVCC8gec;;;;;oui;Accord au cas par cas selon les animaux et le niveau d'occupation du centre;;non;;;;;Anglais,Français;;;;;;;;;oui;;||06 16 03 82 61||lestropes@yahoo.fr;;;||3500,00||4800,00||Pour la privatisation du site (48 couchages);Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL072V50ZYFW;47.798961, 0.407399;Sarthe
Gîte les Bas Bretins;Gîte d'étapes;;;1 les Bas Bretins;;44160;SAINTE-REINE-DE-BRETAGNE;;44189;47.46173;-2.16859;;07 83 05 88 67;;;;http://www.grandgiteatlantiquebretagne.com;;;;;4 étoiles;Espace bien-être,WiFi;oui;;;non;Parking;;;;Anglais;Location de draps,Location de linge;;;6;;12;15;;;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLRGITELESBASBRETINS;47.46173, -2.16859;Loire-Atlantique
Centre de stage Jean Maurel;Centre d'accueil et/ou de vacances;;;16 avenue des Ondines;;44500;LA BAULE-ESCOUBLAC;;44055;47.28532;-2.40289;;;02 51 75 74 93;;;;;;;;;Espace bien-être,Piscine couverte,WiFi;non;;;non;Parking;;;;;Location/prêt de vélo;;;31;;63;;;;;;;;;;;;;;;;;;;;HCOLLRCENTREDESTAGE;47.28532, -2.40289;Loire-Atlantique
Gîte de groupe;;;;3 rue de la Libération;;72300;PARCE-SUR-SARTHE;;72228;47.8445895;-0.1991677;;;;;;;;;;;;;;;;non;;;;;;;;;;;;30;;;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;||1500,00||||;;;;;;;;;;;;HCOLLPDL072V50XYZU;47.8445895, -0.1991677;Sarthe
Hébergement de groupe, La Ferme de Bouchet;;;;34 rue de la Fuie;Gennes;49350;GENNES-VAL-DE-LOIRE;;49261;47.333725;-0.26261;;;02 41 38 02 54;;;;;;;;;;;;;non;;;;;Français;;;;2;;;20;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;;;;;;;;;;HCOLLPDL000V5003A2;47.333725, -0.26261;Maine-et-Loire
La Marechalerie;;;;4 grande rue;;72130;GESNES-LE-GANDELIN;;72141;48.3549648;0.01577629;;06 87 88 69 52;;;;;;;;;;;;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Français;Option nettoyage / ménage,Prestation de restauration;;30;4;1;;30;;oui;;Mme TACHEAU||06 87 88 69 52||;;;;;;;;;;;;;;;HCOLLPDL072V50CCQZ;48.3549648, 0.01577629;Sarthe
Centre La Marjolaine - PEP Atlantique - Anjou;Centre d'accueil et/ou de vacances;;;5 rue des Pins;;44420;LA TURBALLE;;44211;47.35474;-2.51333;;;02 40 23 31 52;;;http://pep-atlantique-anjou.fr/la-turballe-la-marjolaine/;;;;;;Espace bien-être,Piscine couverte;;;;non;Parking;UNAT;;;;Location/prêt de vélo;;;36;;;152;;;;;;;;;;;;;;;;;;;HCOLLRCENTRELAMARJOLAINE;47.35474, -2.51333;Loire-Atlantique
La Brise de Mer - Gîtes et Maison de vacances;Centre d'accueil et/ou de vacances,Gîte de groupe,Gîte d'étapes;;;97 rue du Redois;;44730;SAINT-MICHEL-CHEF-CHEF;;44182;47.18191;-2.15894;;;07 86 99 43 43;;;http://www.labrisedemer.com;;;;;;WiFi;oui;Payant;;non;Cuisine professionnelle,Parking;Accueil Vélo,Gîtes de France,La Vélodyssée,UNAT;;EV1-La Vélodyssée;;;;;;3;59;;;;01/01/2025||31/12/2025||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||;;;;Taxe de séjour / nuit / pers||0,88||0,88||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;;;;;;;;;;;HCOLLJSMLABRISEDEMERGITES;47.18191, -2.15894;Loire-Atlantique
Auberge de jeunesse Du Côté de Roussay;Auberge de jeunesse;;;L'Anjougerie;Roussay;49450;SEVREMOINE;;49301;47.0770146;-1.0556812;;07 68 41 58 96;;;;https://www.ducotederoussay.com/restauration-hebergement;;;;;;WiFi;;;;non;Parking,Salle de réception;;;;;;;;32;1;114;52;;oui;;;oui;||https://www.nexdive.fr/du-cote-de-roussay-1142/rsvp||||||;Nuitée / pers||18,00||18,00||;;;;;;;;;;;;HCOLLPDL049V50AE4S;47.0770146, -1.0556812;Maine-et-Loire
GITE D'ÉTAPE LA GÉLARDIÈRE;Gîte de groupe,Gîte d'étapes;;;La Gélardière;;44660;ROUGE;;44146;47.7627007;-1.3796137;;06.72.85.47.13;02.40.28.21.86;;;;;;;;;;;;;non;;;;;Anglais;;;;4;;;10;;;;;;;Nuitée / pers||23,00||||;;;;;;;;;;;;VILPDL044000067;47.7627007, -1.3796137;Loire-Atlantique
La Rivière blanche;Gîte d'étapes;;;la touche robin;;44530;GUENROUET;;44068;47.53316;-1.9646;;;02 40 87 64 94;;;http://rb44.free.fr;;;;;;Espace bien-être,Piscine couverte;oui;;;non;Parking;;;;;Location/prêt de vélo;;;4;;;14;;oui;;;;;;;;;;;;;;;;;HCOLLRRIVIEREBLANCHE;47.53316, -1.9646;Loire-Atlantique
CHATEAU DE NOIRBREUIL;Gîte de groupe;;;Noirbreuil;Chéméré;44680;CHAUMES-EN-RETZ;;44005;47.14266;-1.85153;;;06 89 79 00 85;;;https://chateaudenoirbreuil.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HCOLLHCOLLJCHERNOIRBREUIL;47.14266, -1.85153;Loire-Atlantique
GITE DE GROUPE LE CHÊNE VERT;Gîte de groupe;;;;25 Chemin du Chêne Vert;53270;SAINTE-SUZANNE-ET-CHAMMES;;53255;48.0687775;-0.411816;;07 71 27 65 29;;;;https://www.grandsgites.com/gite-53-lechenevert-2638.htm;;;;;3 étoiles;Piscine,WiFi;oui;;;non;Cuisine professionnelle,Parking,Salle de réception;Gîtes de France;3 épis;;Anglais,Français;Location de draps,Option nettoyage / ménage;oui;;10;1;;27;;oui;;Sow et Soutade Myriam et Johan||07 71 27 65 29||sarl.giteduchenevert@gmail.com;;;Forfait location privative de l'hébergement||2600,00||||location à la semaine,Forfait location privative de l'hébergement||1650,00||||Location pour 2 nuits;Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL053V505C35;48.0687775, -0.411816;Mayenne
CHÂTEAU DE LA BARILLÈRE;Maison familiale;;;;La Barillère;53380;LA CROIXILLE;;53086;48.216641;-1.0697769;;06 03 03 34 00;;;;http://www.chateaudelabarillere.fr/;Facebook||https://www.facebook.com/locationdecharme/;;;;Non classé;WiFi;;;;non;Cuisine professionnelle,Salle de réception;;;;;;oui;;11;;;35;;oui;;De Saint Chereau||06 03 03 34 00||destchereau@gmail.com;;;Nuitée / hébergement||1600,00||1600,00||,Forfait semaine / pers||4000,00||4000,00||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL053V505D2N;48.216641, -1.0697769;Mayenne
Gîtes de la Charnie : Gîte de la Haie d'Assé;Gîte de groupe;;;;La Haie d'Assé;72540;JOUE-EN-CHARNIE;;72149;48.0350825;-0.230045;;06 95 87 94 15;;;;http://www.gites-charnie.com/;;;;;Non classé;WiFi;;;;non;Parking,Salle de réception;;;;Anglais,Français;;oui;;7;1;10;20;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait location privative de l'hébergement||495,00||845,00||Tarifs week-end;Chèques bancaires et postaux,Chèques Vacances;;;;;;;;;;;HCOLLPDL072V50GKXD;48.0350825, -0.230045;Sarthe
Gîte de l'Erdre au Moulin;Gîte de groupe;;;1 Lieu-dit le moulin du Château;;44440;JOUE-SUR-ERDRE;;44077;47.49456;-1.40243;;06 83 82 94 91;;;;www.lerdreaumoulin.com;;;;;3 étoiles;Local vélo,WiFi;non;;;non;Parking;Accueil Vélo;;Régalante;Français;Fourniture de draps (gratuit),Nettoyage / ménage (gratuit);oui;3;5;2;12;14;;oui;||||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||;DOUAUD Marie||06 83 82 94 91||lerdreaumoulin@orange.fr,DOUAUD Marie||06 83 82 94 91||lerdreaumoulin@orange.fr;;;Nuitée / hébergement||450,00||550,00||Gîte entier 2 nuits,Forfait semaine / pers||1500,00||1900,00||Gîte entier 7 nuits;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V51FI36;47.49456, -1.40243;Loire-Atlantique
Gîte de Boudafay;Gîte de groupe;;;1, Boudafay;Beslé-sur-Vilaine;44290;GUEMENE-PENFAO;;44067;47.7012282;-1.866299;;06 08 63 48 61;;;;;Facebook||https://www.facebook.com/GiteBoudafay/;;;;4 étoiles;;oui;;;non;Parking;;;;Français;Option nettoyage / ménage;oui;;6;;;15;;;;;;;;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V5160MQ;47.7012282, -1.866299;Loire-Atlantique
LA TOUR DES PLANTES;Gîte de groupe;;;10 rue du Belinois;;72230;MONCE-EN-BELIN;;72200;47.8919348;0.21212;;06 15 56 42 73;02 43 42 03 32;;;http://www.latourdesplantes.com/;;;;;;Piscine,WiFi;;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;;;oui;;17;;;52;;oui;;||||xavier.broux@latourdesplantes.com;;;;;;;;;;;;;;;HCOLLPDL072V50B2ET;47.8919348, 0.21212;Sarthe
Hébergement Groupe Ferme de Nat;Gîte de groupe,Gîte d'étapes;La Morchouanière;;Route du Lude;Broc;49490;NOYANT-VILLAGES;;49228;47.6050879;0.21876025;;06 46 82 15 99;02 41 60 34 85;;;;;;;;Non classé;;oui;;;non;Parking,Plain pied,Salle de réception;;;;Allemand,Anglais,Français;Location de draps,Option nettoyage / ménage;oui;;9;6;22;22;non;oui;;LIGNEL Claudine||06 08 73 92 34||fermedenat@esperance49.fr;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V50BABO;47.6050879, 0.21876025;Maine-et-Loire
Gîte le Jeanneau;Gîte de groupe;;;;Le Jeanneau;44540;VALLONS-DE-L'ERDRE;;44180;47.5513213;-1.2614306;Autoroute||A11||22,Gare SNCF||Ancenis||26;06 20 65 71 02;;;;https://www.gites.fr/gites_grand-gite-le-jeanneau-au-calme-en-pleine-nature_saint-sulpice-des-landes_73983.htm;Facebook||https://www.facebook.com/people/Gite-le-Jeanneau/100090086944023/?_rdr;;;;Non classé;Espace bien-être,Piscine,WiFi;non;;;non;Parking,Terrain clos;;;;Français;Option nettoyage / ménage;oui;0;5;1;;15;non;oui;;TOURNEUX VALERIE||06 20 65 71 02||valerie.tourneux44@gmail.com;;;;Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL044V511TLT;47.5513213, -1.2614306;Loire-Atlantique
LPP Nazareth;Centre d'accueil et/ou de vacances,Gîte de groupe;;BP 10102;17 rue Abbé Dujarié;Ruillé sur Loir;72340;LOIR EN VALLÉE;;72262;47.7516938;0.6201634;Autoroute||Montabon||,Gare SNCF||Château du Loir||;;02 43 44 44 30;02 43 44 32 31;;http://www.locationnazareth.jimdo.com;;;;;Non classé;;non;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Français;Option nettoyage / ménage,Prestation de restauration;oui;70;60;;158;158;;oui;;GUERIN Françoise||02 43 44 44 30||francoise.guerin@lppnazareth.com;;;;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL072V501KZK;47.7516938, 0.6201634;Sarthe
LE PAVILLON DE L'EVIDENCE;Gîte de groupe,Maison familiale;;;La Fertrie;;53480;VAIGES;;53267;48.0824039;-0.501926;Autoroute||Péage de Vaiges / A81 / Sortie 2||3,5,Gare SNCF||Gare d'Evron||13,7;06 71 16 95 12;;;;https://lepavillondelevidence.com/;Facebook||https://www.facebook.com/lepavillondelevidence;;;;Non classé;WiFi;non;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;;Option nettoyage / ménage,Prestation de restauration;oui;;9;2;;30;non;oui;;||06 71 16 95 12||lepavillondelevidence@gmail.com;;;Forfait location privative de l'hébergement||6000,00||||Privatisation du vendredi au lundi de l'orangerie, du pavillon et de la maison de famille du 1er avril au 31 octobre,Forfait location privative de l'hébergement||3000,00||||Privatisation du pavillon et de la maison de famille du vendredi au lundi du 31 octobre au 1er avril,Forfait location privative de l'hébergement||1700,00||||Location du pavillon avec couchages du vendredi au lundi du 31 octobre au 1er avril,Forfait location privative de l'hébergement||960,00||||Location de la maison de famille du vendredi au lundi du 31 octobre au 1er avril;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL053V508KQQ;48.0824039, -0.501926;Mayenne
GITE DE GRAND LIEU;Gîte de groupe,Gîte d'étapes;;;1 Le Bas Fief;;44310;SAINT-LUMINE-DE-COUTAIS;;44174;47.05972;-1.71093;Aéroport/aérodrome||Nantes Atlantique||27,Itinéraire de randonnée||GRP Lac de Grand Lieu||0,Bord de mer||Pornic||37,Gare SNCF||St Mars de Coutais||10,Transport en commun||Car LILA||1;;07 87 32 23 66;;;www.gite-de-grand-lieu.com;Facebook||https://www.facebook.com/legitedegrandlieu/;;;;3 étoiles;WiFi;non;;Déficience auditive,Déficience mentale,Déficience moteur,Déficience visuelle;oui;Parking,Terrain clos;Accueil Paysan;;;Anglais,Français;Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration;oui;5;6;1;13;15;;oui;;Odile MONNIER||07 87 32 23 66||gitedegrandlieu@gmail.com;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V50HGXR;47.05972, -1.71093;Loire-Atlantique
GÎTE DE GROUPE LES SAILLARDIERES;Gîte de groupe;;;;Les Saillardières;53480;VAIGES;;53228;48.0477147;-0.4445798;Gare SNCF||Evron||18,Autoroute||A81 / Sortie 2 / Péage de Vaiges||6;06 95 87 94 15;;;;;Facebook||https://www.facebook.com/groups/210127187557?locale=fr_FR;;;;Non classé;WiFi;oui;;;non;Terrain clos;;;;Anglais,Français;Option nettoyage / ménage,Prestation de restauration;oui;;7;2;;25;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;LES GITES DE LA CHARNIE SAS||06 95 87 94 15||info@gites-charnie.com;;;Forfait location privative de l'hébergement||695,00||1495,00||Location week-end;Chèques bancaires et postaux,Chèques Vacances,Virement;;;;;;;;;;;HCOLLPDL053V50717E;48.0477147, -0.4445798;Mayenne
GITE UN INSTANT À SAULGES;Gîte de groupe;;Marpalu;1 route de Cossé en Champagne;;53340;SAULGES;;53257;47.974073;-0.3927086;Gare SNCF||Gare d'Evron||23,5;06 46 88 53 67;;;;;;;;;Non classé;Espace bien-être,WiFi;non;;;non;Terrain clos;Gîtes de France;3 épis;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage / ménage;;;5;1;8;10;;oui;;;oui;Gîtes de France||https://www.gites-de-france.com/fr/pays-de-la-loire/mayenne/un-instant-saulges-h53g023616||||||;Forfait location privative de l'hébergement||750,00||920,00||forfait location privative de l'hébergement à la semaine;;;;;;;;;;;;HCOLLPDL053V509MV1;47.974073, -0.3927086;Mayenne
Le Moulin du Tail;Gîte de groupe;;;9 Le Tail;;44190;GETIGNE;;44063;47.0966347;-1.2292741;Gare SNCF||Gare de Clisson ||8,Aéroport/aérodrome||Aéroport Nantes Atlantique Bouguenais||45;06 12 53 41 46;;;;;Facebook||https://www.facebook.com/LeMoulinduTail/;;;;Non classé;WiFi;oui;;;non;;;;;Français;Location de draps,Location de linge,Option nettoyage / ménage;oui;;2;3;5;10;;oui;06/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;non;Airbnb||||||06 12 53 41 46||lemoulindutail@gmail.com;Nuitée / hébergement||80,00||240,00||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V514OAR;47.0966347, -1.2292741;Loire-Atlantique
La Terrasse des Oliviers;Centre d'accueil et/ou de vacances,Gîte de groupe,Gîte d'étapes;;;538 Rue du Plessis;;72510;MANSIGNE;;72182;47.751271;0.132254;Gare SNCF||Le Mans||35,Autoroute||Ecommoy||15,Aéroport/aérodrome||Le Mans||35;;02 43 46 04 60;;;http://www.laterrassedesoliviers.fr;;;;;En cours de classement;Local vélo,WiFi;oui;gratuit;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Anglais,Français;Location de draps,Location de linge,Location/prêt de vélo,Option nettoyage / ménage,Prestation de restauration;oui;;14;14;52;52;oui;oui;;Habert Pascal ||02 43 46 04 60||laterrassedesoliviers@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;;;;;;;;;;;HCOLLPDL072V5000IX;47.751271, 0.132254;Sarthe
Domaine du Denais;Gîte de groupe;;;;Denais;53290;SAINT-DENIS-D'ANJOU;;53210;47.7875726;-0.4562926;Gare SNCF||Sablé sur sarthe||10;;;;;http://domaine-du-denais.fr/;Facebook||https://www.facebook.com/domainedudenais,Instagram||https://www.instagram.com/domainedudenais/;;;;Non classé;Piscine,WiFi;oui;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;;;;Allemand,Anglais,Français;Location de draps,Option nettoyage / ménage,Prestation de restauration;oui;35;6;16;;0;;oui;;Domaine du denais||06 87 03 14 19||contact@domaine-du-denais.fr;;;Forfait location privative de l'hébergement||2000,00||||Détails sur http://domaine-du-denais.fr;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL053V504G0T;47.7875726, -0.4562926;Mayenne
GITES LA GARLAIS - GRAND GITE;Gîte de groupe;;;7 lieu-dit La Garlais;;44590;DERVAL;;44051;47.662237;-1.6365498;Gare SNCF||||25;06 50 29 95 48;02 40 07 04 07;;;http://www.lagarlais.com;;;;;;WiFi;non;;;non;;Bienvenue à la ferme,Gîtes de France;3 épis;;Anglais,Espagnol;;;;5;;;31;;oui;||||Ouvert toute l'année.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;Gîtes de France||http://webitea-44-RESA-francais.gl.itea.fr/resa/etape1.php?NUM=44G680131&INSTANCE=gites44&OPE=FAIRESAV&ORI=FAIRESAV&&&&||http://webitea-44-RESA-francais.gl.itea.fr/cgi.php?&OPE=FAIRESAV&ORI=FAIRESAV&PLG=O&NUM=44G680131&ACC=T&INSTANCE=gites44||0251729565||info@gites-de-france-44.fr;;Chèques Vacances;;;;;;;;;;;HCOLLPDL044V50056F;47.662237, -1.6365498;Loire-Atlantique
Gîte de la Grez;Gîte de groupe,Gîte d'étapes;;;605, Chemin de La Grez;;53390;SENONNES;;53259;47.8089987;-1.2352561;Gare SNCF||||50,Transport en commun||||50;;;;;https://gitedelagrez.com/;Facebook||https://www.facebook.com/Gite-de-la-GREZ-1183106375122073;;;;Non classé;;oui;;;non;Cuisine professionnelle,Parking,Salle de réception;Gîtes de France;2 épis;;Anglais,Espagnol,Français;Location de draps,Option nettoyage / ménage,Prestation de restauration;oui;7;10;2;22;31;;oui;;EURL DU SEMNON||06 83 21 94 06||gitedelagrez@gmail.com;;;Forfait location privative de l'hébergement||1150,00||1200,00||;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL053V5001QZ;47.8089987, -1.2352561;Mayenne
GITE ETAPE ET SEJOUR - LA FERME DE MAUPOIRIER;Gîte d'étapes;;;;Maupoirier;53160;JUBLAINS;;53122;48.227879;-0.526084;Route (nationale/départ.)||D129||2,Gare routière||Mayenne||14,Gare SNCF||Laval||37;06 76 96 07 42;;;;https://www.fermedemaupoirier.com/;;;;;Non classé;WiFi;non;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;Anglais,Français;Location de draps,Option nettoyage / ménage;oui;;9;2;45;45;;oui;;DEROUAULT||06 76 96 07 42||fermedemaupoirier@gmail.com;;;;Chèques bancaires et postaux,Chèques Vacances,Virement;;;;;;;;;;;HCOLL873180333;48.227879, -0.526084;Mayenne
Les Rives de Sablé : Association CFSR;Auberge de jeunesse,Centre d'accueil et/ou de vacances;;;Rue du Moulin;;72300;SABLE-SUR-SARTHE;;72264;47.8366889;-0.3313047;Route (nationale/départ.)||||1,Autoroute||A11||12,Gare SNCF||Gare TGV Sablé||0,8,Halte fluviale||Port de Sablé||1;;02 43 62 44 44;02 43 62 44 45;;https://www.cfsr-sablesursarthe.fr/;Facebook||https://fr-fr.facebook.com/Les-Rives-de-Sable;https://youtu.be/e4HCW0Elx2g;"https://youtu.be/e4HCW0Elx2g<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;Non classé;Défibrillateur,WiFi;non;;;non;Parking,Plain pied,Salle de réception;;;;Anglais,Français;Fourniture de draps (gratuit),Location de draps,Location de linge,Nettoyage / ménage (gratuit),Option nettoyage / ménage,Prestation de restauration;oui;;36;;104;104;;oui;;||02 43 62 44 44||;;;;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V500YYB;47.8366889, -0.3313047;Sarthe
CENTRE D'HÉBERGEMENT ET DE LOISIRS VINCENT PURKART & JACQUES SECRÉTIN;Centre d'accueil et/ou de vacances,Gîte de groupe;;;14 avenue de la Guerche;;44250;SAINT-BREVIN-LES-PINS;;44154;47.24185;-2.16136;;;02 40 64 44 44;;;https://www.saint-brevin.fr/;;;;;;;;;;non;Salle de réception;;;;;;;;12;;82;82;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLRCENTREVINCENTPURKARTJACQUESSEC;47.24185, -2.16136;Loire-Atlantique
Centre Jeune France Accueil et Formation;Centre d'accueil et/ou de vacances;;;50 rue Darmaillacq;;49300;CHOLET;;49099;47.06453;-0.87402;;;02 41 49 06 30;;;http://www.jf-accueil-formation.fr;;;;;;WiFi;;;;non;Parking;;;;Anglais,Français;Location/prêt de vélo,Prestation de restauration;;;22;;44;44;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLQJEUNEFRANCE;47.06453, -0.87402;Maine-et-Loire
Centre de vacances Marceau;Centre d'accueil et/ou de vacances;;;6 route de Saint-Nudec;;44740;BATZ-SUR-MER;;44010;47.28136;-2.50263;;;02 40 23 92 17;02 40 23 87 06;;https://batzsurmer.villagevacances.org/;;;;;;Espace bien-être,Piscine couverte;non;;;non;Parking;UNAT;;;Allemand,Anglais;Location/prêt de vélo;;;25;;;114;;;;;;;;;;;;;;;;;;;HCOLLRCENTREMARCEAU;47.28136, -2.50263;Loire-Atlantique
Domaine de la Pierre;Gîte de groupe;;;Château de la Pierre;;72440;COUDRECIEUX;;72094;47.9976399;0.6528429;;06 61 34 43 97;02 43 35 43 02;;;https://www.domainedelapierre.fr/;;;;;;;;;;non;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;HCOLLPDL072V50NRF1;47.9976399, 0.6528429;Sarthe
Domaine de la Libaudière;;;;La Libaudière;;72360;MAYET;;72191;47.732639;0.25122;;07 57 08 74 63;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HCOLLPDL072V50ZZOP;47.732639, 0.25122;Sarthe
LE DOMAINE DE LA PINELAIS;Gîte de groupe;;;La Pinelais;;44320;SAINT-PERE-EN-RETZ;;44187;47.25569;-2.05539;;06 13 83 88 50;02 28 53 01 45;;;http://www.domaine-pinelais.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HCOLLRHCOLLPDL044V503VU3;47.25569, -2.05539;Loire-Atlantique
Gîtes le Bois des Tréans;Gîte de groupe;;;Le bois des Tréans;;44760;LES MOUTIERS-EN-RETZ;;44106;47.07501;-2.01088;;;07 84 24 11 41;;;http://le-bois-des-treans.fr;;;;;;WiFi;non;;;;Cuisine professionnelle,Parking;;;;;;;;9;3;17;24;;;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLHCOLLJLMGITETREANS;47.07501, -2.01088;Loire-Atlantique
Gîte communal de Conlie;Gîte d'étapes;85 rue de l'Eglise;;;;72240;CONLIE;;72089;48.121467;-0.018231;;06 72 88 36 27;02 43 20 50 35;;;;;;;;2 étoiles;;non;;;non;;Gîtes de France;2 épis;;;Location de draps;;;5;;;19;;oui;||||toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;;;;;;;;;;HCOLLPDL072V500296;48.121467, -0.018231;Sarthe
CHÂTEAU BEAUMONT LTD;Centre d'accueil et/ou de vacances;Chateau Les Courgés;;Les Courges;;53420;CHAILLAND;;53048;48.233358;-0.906852;;;02 44 72 54 79;;;;;;;;Non classé;Piscine,WiFi;;;;non;;;;;;;;0;;;;120;;oui;;||02 44 72 54 79||sejours@colonieanglaise.com;;;;Chèques bancaires et postaux,Chèques Vacances,Virement;;;;;;;;;;;HCOLLPDL053V5072B2;48.233358, -0.906852;Mayenne
